id,vendor_slug,vendor_label,display_name,modality,input_modalities_str,output_modalities_str,tokenizer,context_length,max_completion_tokens,is_moderated,supported_parameters,canonical_slug,description_excerpt
alpindale/goliath-120b,alpindale,Alpindale,Goliath 120B,text->text,text,text,Llama2,6144,1024,False,"[""frequency_penalty"", ""logit_bias"", ""logprobs"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""temperature"", ""top_a"", ""top_k"", ""top_logprobs"", ""top_p""]",alpindale/goliath-120b,"A large LLM created by combining two fine-tuned Llama 70B models into one 120B model. Combines Xwin and Euryale.

Credits to
- [@chargoddard](https://huggingface.co/chargoddard) for developing the framework used to merge the model - [mergekit](https://github.com/cg123/mergekit).
- [@Undi95](https://huggingface.co/Undi95) for helping with the merge ratios.

#merge"
amazon/nova-2-lite-v1,amazon,Amazon,Amazon: Nova 2 Lite,text+image+file+video->text,"text,image,video,file",text,Nova,1000000,65535,True,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",amazon/nova-2-lite-v1,"Nova 2 Lite is a fast, cost-effective reasoning model for everyday workloads that can process text, images, and videos to generate text. 

Nova 2 Lite demonstrates standout capabilities in processing documents, extracting information from videos, generating code, providing accurate grounded answers, and automating multi-step agentic workflows."
amazon/nova-lite-v1,amazon,Amazon,Amazon: Nova Lite 1.0,text+image->text,"text,image",text,Nova,300000,5120,True,"[""max_tokens"", ""stop"", ""temperature"", ""tools"", ""top_k"", ""top_p""]",amazon/nova-lite-v1,"Amazon Nova Lite 1.0 is a very low-cost multimodal model from Amazon that focused on fast processing of image, video, and text inputs to generate text output. Amazon Nova Lite can handle real-time customer interactions, document analysis, and visual question-answering tasks with high accuracy.

With an input context of 300K tokens, it can analyze multiple images or up to 30 minutes of video in ..."
amazon/nova-micro-v1,amazon,Amazon,Amazon: Nova Micro 1.0,text->text,text,text,Nova,128000,5120,True,"[""max_tokens"", ""stop"", ""temperature"", ""tools"", ""top_k"", ""top_p""]",amazon/nova-micro-v1,"Amazon Nova Micro 1.0 is a text-only model that delivers the lowest latency responses in the Amazon Nova family of models at a very low cost. With a context length of 128K tokens and optimized for speed and cost, Amazon Nova Micro excels at tasks such as text summarization, translation, content classification, interactive chat, and brainstorming. It has  simple mathematical reasoning and coding..."
amazon/nova-premier-v1,amazon,Amazon,Amazon: Nova Premier 1.0,text+image->text,"text,image",text,Nova,1000000,32000,True,"[""max_tokens"", ""stop"", ""temperature"", ""tools"", ""top_k"", ""top_p""]",amazon/nova-premier-v1,Amazon Nova Premier is the most capable of Amazon’s multimodal models for complex reasoning tasks and for use as the best teacher for distilling custom models.
amazon/nova-pro-v1,amazon,Amazon,Amazon: Nova Pro 1.0,text+image->text,"text,image",text,Nova,300000,5120,True,"[""max_tokens"", ""stop"", ""temperature"", ""tools"", ""top_k"", ""top_p""]",amazon/nova-pro-v1,"Amazon Nova Pro 1.0 is a capable multimodal model from Amazon focused on providing a combination of accuracy, speed, and cost for a wide range of tasks. As of December 2024, it achieves state-of-the-art performance on key benchmarks including visual question answering (TextVQA) and video understanding (VATEX).

Amazon Nova Pro demonstrates strong capabilities in processing both visual and textu..."
anthracite-org/magnum-v4-72b,anthracite-org,Anthracite Org,Magnum v4 72B,text->text,text,text,Qwen,16384,2048,False,"[""frequency_penalty"", ""logit_bias"", ""logprobs"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""temperature"", ""top_a"", ""top_k"", ""top_logprobs"", ""top_p""]",anthracite-org/magnum-v4-72b,"This is a series of models designed to replicate the prose quality of the Claude 3 models, specifically Sonnet(https://openrouter.ai/anthropic/claude-3.5-sonnet) and Opus(https://openrouter.ai/anthropic/claude-3-opus).

The model is fine-tuned on top of [Qwen2.5 72B](https://openrouter.ai/qwen/qwen-2.5-72b-instruct)."
anthropic/claude-3-haiku,anthropic,Anthropic,Anthropic: Claude 3 Haiku,text+image->text,"text,image",text,Claude,200000,4096,True,"[""max_tokens"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",anthropic/claude-3-haiku,"Claude 3 Haiku is Anthropic's fastest and most compact model for
near-instant responsiveness. Quick and accurate targeted performance.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/claude-3-haiku)

#multimodal"
anthropic/claude-3.5-haiku,anthropic,Anthropic,Anthropic: Claude 3.5 Haiku,text+image->text,"text,image",text,Claude,200000,8192,True,"[""max_tokens"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",anthropic/claude-3-5-haiku,"Claude 3.5 Haiku features offers enhanced capabilities in speed, coding accuracy, and tool use. Engineered to excel in real-time applications, it delivers quick response times that are essential for dynamic tasks such as chat interactions and immediate coding suggestions.

This makes it highly suitable for environments that demand both speed and precision, such as software development, customer..."
anthropic/claude-3.5-sonnet,anthropic,Anthropic,Anthropic: Claude 3.5 Sonnet,text+image+file->text,"text,image,file",text,Claude,200000,8192,True,"[""max_tokens"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",anthropic/claude-3.5-sonnet,"New Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same Sonnet prices. Sonnet is particularly good at:

- Coding: Scores ~49% on SWE-Bench Verified, higher than the last best score, and without any fancy prompt scaffolding
- Data science: Augments human data science expertise; navigates unstructured data while using multiple tools for insights
- Visu..."
anthropic/claude-3.7-sonnet,anthropic,Anthropic,Anthropic: Claude 3.7 Sonnet,text+image+file->text,"text,image,file",text,Claude,200000,64000,False,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",anthropic/claude-3-7-sonnet-20250219,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rapid responses and extended, step-by-step processing for complex tasks. The model demonstrates notable improvements in coding, particularly in front-end development and full-stack updates, and excels..."
anthropic/claude-3.7-sonnet:thinking,anthropic,Anthropic,Anthropic: Claude 3.7 Sonnet (thinking),text+image+file->text,"text,image,file",text,Claude,200000,64000,False,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_p""]",anthropic/claude-3-7-sonnet-20250219,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rapid responses and extended, step-by-step processing for complex tasks. The model demonstrates notable improvements in coding, particularly in front-end development and full-stack updates, and excels..."
anthropic/claude-haiku-4.5,anthropic,Anthropic,Anthropic: Claude Haiku 4.5,text+image->text,"image,text",text,Claude,200000,64000,True,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""response_format"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",anthropic/claude-4.5-haiku-20251001,"Claude Haiku 4.5 is Anthropic’s fastest and most efficient model, delivering near-frontier intelligence at a fraction of the cost and latency of larger Claude models. Matching Claude Sonnet 4’s performance across reasoning, coding, and computer-use tasks, Haiku 4.5 brings frontier-level capability to real-time and high-volume applications.

It introduces extended thinking to the Haiku line; ena..."
anthropic/claude-opus-4,anthropic,Anthropic,Anthropic: Claude Opus 4,text+image+file->text,"image,text,file",text,Claude,200000,32000,True,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",anthropic/claude-4-opus-20250522,"Claude Opus 4 is benchmarked as the world’s best coding model, at time of release, bringing sustained performance on complex, long-running tasks and agent workflows. It sets new benchmarks in software engineering, achieving leading results on SWE-bench (72.5%) and Terminal-bench (43.2%). Opus 4 supports extended, agentic workflows, handling thousands of task steps continuously for hours without..."
anthropic/claude-opus-4.1,anthropic,Anthropic,Anthropic: Claude Opus 4.1,text+image+file->text,"image,text,file",text,Claude,200000,32000,True,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""response_format"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",anthropic/claude-4.1-opus-20250805,"Claude Opus 4.1 is an updated version of Anthropic’s flagship model, offering improved performance in coding, reasoning, and agentic tasks. It achieves 74.5% on SWE-bench Verified and shows notable gains in multi-file code refactoring, debugging precision, and detail-oriented reasoning. The model supports extended thinking up to 64K tokens and is optimized for tasks involving research, data ana..."
anthropic/claude-opus-4.5,anthropic,Anthropic,Anthropic: Claude Opus 4.5,text+image+file->text,"file,image,text",text,Claude,200000,64000,True,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""response_format"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""verbosity""]",anthropic/claude-4.5-opus-20251124,"Claude Opus 4.5 is Anthropic’s frontier reasoning model optimized for complex software engineering, agentic workflows, and long-horizon computer use. It offers strong multimodal capabilities, competitive performance across real-world coding and reasoning benchmarks, and improved robustness to prompt injection. The model is designed to operate efficiently across varied effort levels, enabling de..."
anthropic/claude-opus-4.6,anthropic,Anthropic,Anthropic: Claude Opus 4.6,text+image->text,"text,image",text,Claude,1000000,128000,True,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""response_format"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p"", ""verbosity""]",anthropic/claude-4.6-opus-20260205,"Opus 4.6 is Anthropic’s strongest model for coding and long-running professional tasks. It is built for agents that operate across entire workflows rather than single prompts, making it especially effective for large codebases, complex refactors, and multi-step debugging that unfolds over time. The model shows deeper contextual understanding, stronger problem decomposition, and greater reliabil..."
anthropic/claude-sonnet-4,anthropic,Anthropic,Anthropic: Claude Sonnet 4,text+image+file->text,"image,text,file",text,Claude,200000,64000,True,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",anthropic/claude-4-sonnet-20250522,"Claude Sonnet 4 significantly enhances the capabilities of its predecessor, Sonnet 3.7, excelling in both coding and reasoning tasks with improved precision and controllability. Achieving state-of-the-art performance on SWE-bench (72.7%), Sonnet 4 balances capability and computational efficiency, making it suitable for a broad range of applications from routine coding tasks to complex software ..."
anthropic/claude-sonnet-4.5,anthropic,Anthropic,Anthropic: Claude Sonnet 4.5,text+image+file->text,"text,image,file",text,Claude,1000000,64000,False,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""response_format"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",anthropic/claude-4.5-sonnet-20250929,"Claude Sonnet 4.5 is Anthropic’s most advanced Sonnet model to date, optimized for real-world agents and coding workflows. It delivers state-of-the-art performance on coding benchmarks such as SWE-bench Verified, with improvements across system design, code security, and specification adherence. The model is designed for extended autonomous operation, maintaining task continuity across sessions..."
anthropic/claude-sonnet-4.6,anthropic,Anthropic,Anthropic: Claude Sonnet 4.6,text+image->text,"text,image",text,Claude,1000000,128000,True,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""response_format"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p"", ""verbosity""]",anthropic/claude-4.6-sonnet-20260217,"Sonnet 4.6 is Anthropic's most capable Sonnet-class model yet, with frontier performance across coding, agents, and professional work. It excels at iterative development, complex codebase navigation, end-to-end project management with memory, polished document creation, and confident computer use for web QA and workflow automation."
arcee-ai/coder-large,arcee-ai,Arcee AI,Arcee AI: Coder Large,text->text,text,text,Other,32768,,False,"[""frequency_penalty"", ""logit_bias"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""stop"", ""temperature"", ""top_k"", ""top_p""]",arcee-ai/coder-large,"Coder‑Large is a 32 B‑parameter offspring of Qwen 2.5‑Instruct that has been further trained on permissively‑licensed GitHub, CodeSearchNet and synthetic bug‑fix corpora. It supports a 32k context window, enabling multi‑file refactoring or long diff review in a single call, and understands 30‑plus programming languages with special attention to TypeScript, Go and Terraform. Internal benchmarks ..."
arcee-ai/maestro-reasoning,arcee-ai,Arcee AI,Arcee AI: Maestro Reasoning,text->text,text,text,Other,131072,32000,False,"[""frequency_penalty"", ""logit_bias"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""stop"", ""temperature"", ""top_k"", ""top_p""]",arcee-ai/maestro-reasoning,"Maestro Reasoning is Arcee's flagship analysis model: a 32 B‑parameter derivative of Qwen 2.5‑32 B tuned with DPO and chain‑of‑thought RL for step‑by‑step logic. Compared to the earlier 7 B preview, the production 32 B release widens the context window to 128 k tokens and doubles pass‑rate on MATH and GSM‑8K, while also lifting code completion accuracy. Its instruction style encourages structur..."
arcee-ai/spotlight,arcee-ai,Arcee AI,Arcee AI: Spotlight,text+image->text,"image,text",text,Other,131072,65537,False,"[""frequency_penalty"", ""logit_bias"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""stop"", ""temperature"", ""top_k"", ""top_p""]",arcee-ai/spotlight,"Spotlight is a 7‑billion‑parameter vision‑language model derived from Qwen 2.5‑VL and fine‑tuned by Arcee AI for tight image‑text grounding tasks. It offers a 32 k‑token context window, enabling rich multimodal conversations that combine lengthy documents with one or more images. Training emphasized fast inference on consumer GPUs while retaining strong captioning, visual‐question‑answering, an..."
arcee-ai/trinity-large-preview:free,arcee-ai,Arcee AI,Arcee AI: Trinity Large Preview (free),text->text,text,text,Other,131000,,False,"[""max_tokens"", ""response_format"", ""structured_outputs"", ""temperature"", ""tools"", ""top_k"", ""top_p""]",arcee-ai/trinity-large-preview,"Trinity-Large-Preview is a frontier-scale open-weight language model from Arcee, built as a 400B-parameter sparse Mixture-of-Experts with 13B active parameters per token using 4-of-256 expert routing. 

It excels in creative writing, storytelling, role-play, chat scenarios, and real-time voice assistance, better than your average reasoning model usually can. But we’re also introducing some of o..."
arcee-ai/trinity-mini,arcee-ai,Arcee AI,Arcee AI: Trinity Mini,text->text,text,text,Other,131072,131072,False,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""response_format"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_p""]",arcee-ai/trinity-mini-20251201,Trinity Mini is a 26B-parameter (3B active) sparse mixture-of-experts language model featuring 128 experts with 8 active per token. Engineered for efficient reasoning over long contexts (131k) with robust function calling and multi-step agent workflows.
arcee-ai/trinity-mini:free,arcee-ai,Arcee AI,Arcee AI: Trinity Mini (free),text->text,text,text,Other,131072,,False,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""response_format"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",arcee-ai/trinity-mini-20251201,Trinity Mini is a 26B-parameter (3B active) sparse mixture-of-experts language model featuring 128 experts with 8 active per token. Engineered for efficient reasoning over long contexts (131k) with robust function calling and multi-step agent workflows.
arcee-ai/virtuoso-large,arcee-ai,Arcee AI,Arcee AI: Virtuoso Large,text->text,text,text,Other,131072,64000,False,"[""frequency_penalty"", ""logit_bias"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",arcee-ai/virtuoso-large,"Virtuoso‑Large is Arcee's top‑tier general‑purpose LLM at 72 B parameters, tuned to tackle cross‑domain reasoning, creative writing and enterprise QA. Unlike many 70 B peers, it retains the 128 k context inherited from Qwen 2.5, letting it ingest books, codebases or financial filings wholesale. Training blended DeepSeek R1 distillation, multi‑epoch supervised fine‑tuning and a final DPO/RLHF al..."
baidu/ernie-4.5-21b-a3b,baidu,Baidu,Baidu: ERNIE 4.5 21B A3B,text->text,text,text,Other,120000,8000,False,"[""frequency_penalty"", ""max_tokens"", ""presence_penalty"", ""repetition_penalty"", ""seed"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",baidu/ernie-4.5-21b-a3b,"A sophisticated text-based Mixture-of-Experts (MoE) model featuring 21B total parameters with 3B activated per token, delivering exceptional multimodal understanding and generation through heterogeneous MoE structures and modality-isolated routing. Supporting an extensive 131K token context length, the model achieves efficient inference via multi-expert parallel collaboration and quantization, ..."
baidu/ernie-4.5-21b-a3b-thinking,baidu,Baidu,Baidu: ERNIE 4.5 21B A3B Thinking,text->text,text,text,Other,131072,65536,False,"[""frequency_penalty"", ""include_reasoning"", ""max_tokens"", ""presence_penalty"", ""reasoning"", ""repetition_penalty"", ""seed"", ""stop"", ""temperature"", ""top_k"", ""top_p""]",baidu/ernie-4.5-21b-a3b-thinking,"ERNIE-4.5-21B-A3B-Thinking is Baidu's upgraded lightweight MoE model, refined to boost reasoning depth and quality for top-tier performance in logical puzzles, math, science, coding, text generation, and expert-level academic benchmarks."
baidu/ernie-4.5-300b-a47b,baidu,Baidu,Baidu: ERNIE 4.5 300B A47B ,text->text,text,text,Other,123000,12000,False,"[""frequency_penalty"", ""max_tokens"", ""presence_penalty"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""structured_outputs"", ""temperature"", ""top_k"", ""top_p""]",baidu/ernie-4.5-300b-a47b,"ERNIE-4.5-300B-A47B is a 300B parameter Mixture-of-Experts (MoE) language model developed by Baidu as part of the ERNIE 4.5 series. It activates 47B parameters per token and supports text generation in both English and Chinese. Optimized for high-throughput inference and efficient scaling, it uses a heterogeneous MoE structure with advanced routing and quantization strategies, including FP8 and..."
baidu/ernie-4.5-vl-28b-a3b,baidu,Baidu,Baidu: ERNIE 4.5 VL 28B A3B,text+image->text,"text,image",text,Other,30000,8000,False,"[""frequency_penalty"", ""include_reasoning"", ""max_tokens"", ""presence_penalty"", ""reasoning"", ""repetition_penalty"", ""seed"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",baidu/ernie-4.5-vl-28b-a3b,"A powerful multimodal Mixture-of-Experts chat model featuring 28B total parameters with 3B activated per token, delivering exceptional text and vision understanding through its innovative heterogeneous MoE structure with modality-isolated routing. Built with scaling-efficient infrastructure for high-throughput training and inference, the model leverages advanced post-training techniques includi..."
baidu/ernie-4.5-vl-424b-a47b,baidu,Baidu,Baidu: ERNIE 4.5 VL 424B A47B ,text+image->text,"image,text",text,Other,123000,16000,False,"[""frequency_penalty"", ""include_reasoning"", ""max_tokens"", ""presence_penalty"", ""reasoning"", ""repetition_penalty"", ""seed"", ""stop"", ""temperature"", ""top_k"", ""top_p""]",baidu/ernie-4.5-vl-424b-a47b,"ERNIE-4.5-VL-424B-A47B is a multimodal Mixture-of-Experts (MoE) model from Baidu’s ERNIE 4.5 series, featuring 424B total parameters with 47B active per token. It is trained jointly on text and image data using a heterogeneous MoE architecture and modality-isolated routing to enable high-fidelity cross-modal reasoning, image understanding, and long-context generation (up to 131k tokens). Fine-t..."
