id,registry_name,vendor_slug,vendor_label,modality_summary,input_modalities_str,output_modalities_str,context_length,context_length_source,context_length_note,owned_by,created,object,series,inferred_task_tags_str
kimi-k2-thinking,aliyun_bailian:kimi-k2-thinking,moonshot,月之暗面 (Kimi),text->text,text,text,262144,heuristic,启发值，以百炼为准,system,1773633560,model,other,chat
kimi-k2.5,aliyun_bailian:kimi-k2.5,moonshot,月之暗面 (Kimi),text->text,text,text,262144,heuristic,启发值，以百炼为准,system,1773633504,model,other,chat
kimi/kimi-k2.5,aliyun_bailian:kimi/kimi-k2.5,moonshot,月之暗面 (Kimi),text->text,text,text,30000,mmaa_llm_registry,与 backend LLMRegistry 中 aliyun_bailian 配置一致,system,1770949447,model,kimi,chat
MiniMax-M2.1,aliyun_bailian:MiniMax-M2.1,minimax,MiniMax,text->text,text,text,204800,heuristic,启发值，以百炼为准,system,1773633360,model,other,chat
MiniMax-M2.5,aliyun_bailian:MiniMax-M2.5,minimax,MiniMax,text->text,text,text,204800,heuristic,启发值，以百炼为准,system,1773633333,model,other,chat
MiniMax/MiniMax-M2.1,aliyun_bailian:MiniMax/MiniMax-M2.1,minimax,MiniMax,text->text,text,text,204800,heuristic,启发值，以百炼为准,system,1770949497,model,minimax,chat
MiniMax/MiniMax-M2.5,aliyun_bailian:MiniMax/MiniMax-M2.5,minimax,MiniMax,text->text,text,text,204800,heuristic,启发值，以百炼为准,system,1770949482,model,minimax,chat
MiniMax/MiniMax-M2.7,aliyun_bailian:MiniMax/MiniMax-M2.7,minimax,MiniMax,text->text,text,text,204800,heuristic,启发值，以百炼为准,system,1774016827,model,minimax,chat
MiniMax/speech-02-hd,aliyun_bailian:MiniMax/speech-02-hd,minimax,MiniMax,text->audio,text,audio,204800,heuristic,启发值，以百炼为准,system,1774008599,model,minimax,"chat,speech"
MiniMax/speech-02-turbo,aliyun_bailian:MiniMax/speech-02-turbo,minimax,MiniMax,text->audio,text,audio,204800,heuristic,启发值，以百炼为准,system,1774009003,model,minimax,"chat,speech"
MiniMax/speech-2.8-hd,aliyun_bailian:MiniMax/speech-2.8-hd,minimax,MiniMax,text->audio,text,audio,204800,heuristic,启发值，以百炼为准,system,1774008837,model,minimax,"chat,speech"
MiniMax/speech-2.8-turbo,aliyun_bailian:MiniMax/speech-2.8-turbo,minimax,MiniMax,text->audio,text,audio,204800,heuristic,启发值，以百炼为准,system,1774008732,model,minimax,"chat,speech"
qvq-max,aliyun_bailian:qvq-max,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1760421485,model,other,chat
qvq-max-2025-05-15,aliyun_bailian:qvq-max-2025-05-15,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1753955124,model,other,chat
qvq-plus,aliyun_bailian:qvq-plus,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1753955066,model,other,chat
qvq-plus-2025-05-15,aliyun_bailian:qvq-plus-2025-05-15,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1753955051,model,other,chat
qwen-1.8b-chat,aliyun_bailian:qwen-1.8b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1714377102,model,qwen,chat
qwen-1.8b-longcontext-chat,aliyun_bailian:qwen-1.8b-longcontext-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1714377102,model,qwen,chat
qwen-14b-chat,aliyun_bailian:qwen-14b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1714377102,model,qwen,chat
qwen-72b-chat,aliyun_bailian:qwen-72b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1714377102,model,qwen,chat
qwen-7b-chat,aliyun_bailian:qwen-7b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1714377102,model,qwen,chat
qwen-coder-plus,aliyun_bailian:qwen-coder-plus,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1753956280,model,qwen,chat
qwen-coder-plus-1106,aliyun_bailian:qwen-coder-plus-1106,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1753956290,model,qwen,chat
qwen-coder-plus-latest,aliyun_bailian:qwen-coder-plus-latest,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1753956310,model,qwen,chat
qwen-coder-turbo,aliyun_bailian:qwen-coder-turbo,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1754012830,model,qwen,chat
qwen-coder-turbo-0919,aliyun_bailian:qwen-coder-turbo-0919,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1754012842,model,qwen,chat
qwen-coder-turbo-latest,aliyun_bailian:qwen-coder-turbo-latest,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1754012852,model,qwen,chat
qwen-deep-research-2025-12-15,aliyun_bailian:qwen-deep-research-2025-12-15,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1773912697,model,qwen,chat
qwen-deep-search-planning,aliyun_bailian:qwen-deep-search-planning,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1761806022,model,qwen,chat
qwen-flash,aliyun_bailian:qwen-flash,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1772373359,model,qwen,chat
qwen-flash-character,aliyun_bailian:qwen-flash-character,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1769790355,model,qwen,chat
qwen-flash-character-2026-02-26,aliyun_bailian:qwen-flash-character-2026-02-26,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1772265971,model,qwen,chat
qwen-image-2.0,aliyun_bailian:qwen-image-2.0,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1772537751,model,qwen,chat
qwen-image-2.0-2026-03-03,aliyun_bailian:qwen-image-2.0-2026-03-03,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1772537799,model,qwen,chat
qwen-image-2.0-pro,aliyun_bailian:qwen-image-2.0-pro,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1772537784,model,qwen,chat
qwen-image-2.0-pro-2026-03-03,aliyun_bailian:qwen-image-2.0-pro-2026-03-03,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1772537768,model,qwen,chat
qwen-image-edit-max,aliyun_bailian:qwen-image-edit-max,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1768570977,model,qwen,chat
qwen-image-edit-max-2026-01-16,aliyun_bailian:qwen-image-edit-max-2026-01-16,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1768570986,model,qwen,chat
qwen-image-edit-plus,aliyun_bailian:qwen-image-edit-plus,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1763973984,model,qwen,chat
qwen-image-edit-plus-2025-10-30,aliyun_bailian:qwen-image-edit-plus-2025-10-30,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1761808837,model,qwen,chat
qwen-image-edit-plus-2025-12-15,aliyun_bailian:qwen-image-edit-plus-2025-12-15,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1765811043,model,qwen,chat
qwen-image-max,aliyun_bailian:qwen-image-max,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1767090910,model,qwen,chat
qwen-image-max-2025-12-30,aliyun_bailian:qwen-image-max-2025-12-30,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1767090925,model,qwen,chat
qwen-image-plus-2026-01-09,aliyun_bailian:qwen-image-plus-2026-01-09,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1767930106,model,qwen,chat
qwen-long,aliyun_bailian:qwen-long,tongyi,阿里巴巴 (通义千问),text->text,text,text,10000000,heuristic,文档常见表述为千万级 token，以控制台/文档为准,system,1760687436,model,qwen,chat
qwen-math-plus,aliyun_bailian:qwen-math-plus,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1754012997,model,qwen,chat
qwen-math-plus-0919,aliyun_bailian:qwen-math-plus-0919,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1754012861,model,qwen,chat
qwen-math-plus-latest,aliyun_bailian:qwen-math-plus-latest,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1754012872,model,qwen,chat
qwen-math-turbo,aliyun_bailian:qwen-math-turbo,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1754012882,model,qwen,chat
qwen-math-turbo-0919,aliyun_bailian:qwen-math-turbo-0919,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1754012893,model,qwen,chat
qwen-math-turbo-latest,aliyun_bailian:qwen-math-turbo-latest,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1754012904,model,qwen,chat
qwen-max,aliyun_bailian:qwen-max,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1772370840,model,qwen,chat
qwen-max-0107,aliyun_bailian:qwen-max-0107,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1714377100,model,qwen,chat
qwen-max-0428,aliyun_bailian:qwen-max-0428,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1714978712,model,qwen,chat
qwen-max-0919,aliyun_bailian:qwen-max-0919,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1754012914,model,qwen,chat
qwen-max-1201,aliyun_bailian:qwen-max-1201,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1714377101,model,qwen,chat
qwen-max-2025-01-25,aliyun_bailian:qwen-max-2025-01-25,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760421986,model,qwen,chat
qwen-max-latest,aliyun_bailian:qwen-max-latest,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1768877433,model,qwen,chat
qwen-max-longcontext,aliyun_bailian:qwen-max-longcontext,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1714377101,model,qwen,chat
qwen-mt-flash,aliyun_bailian:qwen-mt-flash,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1762432503,model,qwen,chat
qwen-mt-lite,aliyun_bailian:qwen-mt-lite,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1763619345,model,qwen,chat
qwen-mt-plus,aliyun_bailian:qwen-mt-plus,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1761731052,model,qwen,chat
qwen-mt-turbo,aliyun_bailian:qwen-mt-turbo,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1761731026,model,qwen,chat
qwen-omni-turbo,aliyun_bailian:qwen-omni-turbo,tongyi,阿里巴巴 (通义千问),text+image+audio+video->text,"text,image,audio,video",text,30000,mmaa_llm_registry,与 backend LLMRegistry 中 aliyun_bailian 配置一致,system,1768533402,model,qwen,"chat,omni"
qwen-plus,aliyun_bailian:qwen-plus,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1771912454,model,qwen,chat
qwen-plus-2025-01-25,aliyun_bailian:qwen-plus-2025-01-25,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760421714,model,qwen,chat
qwen-plus-2025-04-28,aliyun_bailian:qwen-plus-2025-04-28,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760413775,model,qwen,chat
qwen-plus-2025-07-14,aliyun_bailian:qwen-plus-2025-07-14,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1761298562,model,qwen,chat
qwen-plus-2025-09-11,aliyun_bailian:qwen-plus-2025-09-11,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1757644887,model,qwen,chat
qwen-plus-2025-11-05,aliyun_bailian:qwen-plus-2025-11-05,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1764071954,model,qwen,chat
qwen-plus-2025-12-01,aliyun_bailian:qwen-plus-2025-12-01,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1764588482,model,qwen,chat
qwen-plus-latest,aliyun_bailian:qwen-plus-latest,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1766979548,model,qwen,chat
qwen-tts-2025-05-22,aliyun_bailian:qwen-tts-2025-05-22,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1763022059,model,qwen,"chat,speech"
qwen-turbo,aliyun_bailian:qwen-turbo,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1768877836,model,qwen,chat
qwen-turbo-0919,aliyun_bailian:qwen-turbo-0919,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1770119917,model,qwen,chat
qwen-turbo-2024-11-01,aliyun_bailian:qwen-turbo-2024-11-01,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760421757,model,qwen,chat
qwen-turbo-2025-04-28,aliyun_bailian:qwen-turbo-2025-04-28,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760413797,model,qwen,chat
qwen-turbo-2025-07-15,aliyun_bailian:qwen-turbo-2025-07-15,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760413499,model,qwen,chat
qwen-turbo-latest,aliyun_bailian:qwen-turbo-latest,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1768877934,model,qwen,chat
qwen-vl-max,aliyun_bailian:qwen-vl-max,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,131072,heuristic,通义常见 128K 量级，启发值,system,1770728326,model,qwen,"chat,vision"
qwen-vl-max-2025-04-02,aliyun_bailian:qwen-vl-max-2025-04-02,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,131072,heuristic,通义常见 128K 量级，启发值,system,1753955443,model,qwen,"chat,vision"
qwen-vl-max-2025-04-08,aliyun_bailian:qwen-vl-max-2025-04-08,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,131072,heuristic,通义常见 128K 量级，启发值,system,1760413715,model,qwen,"chat,vision"
qwen-vl-max-latest,aliyun_bailian:qwen-vl-max-latest,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,131072,heuristic,通义常见 128K 量级，启发值,system,1768878339,model,qwen,"chat,vision"
qwen-vl-ocr,aliyun_bailian:qwen-vl-ocr,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,131072,heuristic,通义常见 128K 量级，启发值,system,1753956252,model,qwen,"chat,vision"
qwen-vl-ocr-2025-11-20,aliyun_bailian:qwen-vl-ocr-2025-11-20,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,131072,heuristic,通义常见 128K 量级，启发值,system,1763606696,model,qwen,"chat,vision"
qwen-vl-ocr-latest,aliyun_bailian:qwen-vl-ocr-latest,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,131072,heuristic,通义常见 128K 量级，启发值,system,1763696092,model,qwen,"chat,vision"
qwen-vl-plus,aliyun_bailian:qwen-vl-plus,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,131072,heuristic,通义常见 128K 量级，启发值,system,1760687385,model,qwen,"chat,vision"
qwen-vl-plus-2025-01-25,aliyun_bailian:qwen-vl-plus-2025-01-25,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,131072,heuristic,通义常见 128K 量级，启发值,system,1760413697,model,qwen,"chat,vision"
qwen-vl-plus-2025-05-07,aliyun_bailian:qwen-vl-plus-2025-05-07,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,131072,heuristic,通义常见 128K 量级，启发值,system,1760413614,model,qwen,"chat,vision"
qwen-vl-plus-2025-08-15,aliyun_bailian:qwen-vl-plus-2025-08-15,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,131072,heuristic,通义常见 128K 量级，启发值,system,1755567702,model,qwen,"chat,vision"
qwen-vl-plus-latest,aliyun_bailian:qwen-vl-plus-latest,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,131072,heuristic,通义常见 128K 量级，启发值,system,1760687819,model,qwen,"chat,vision"
qwen1.5-0.5b-chat,aliyun_bailian:qwen1.5-0.5b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1714377102,model,qwen,chat
qwen1.5-1.8b-chat,aliyun_bailian:qwen1.5-1.8b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1714377101,model,qwen,chat
qwen1.5-110b-chat,aliyun_bailian:qwen1.5-110b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1714788848,model,qwen,chat
qwen1.5-14b-chat,aliyun_bailian:qwen1.5-14b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1714377101,model,qwen,chat
qwen1.5-32b-chat,aliyun_bailian:qwen1.5-32b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1714377101,model,qwen,chat
qwen1.5-72b-chat,aliyun_bailian:qwen1.5-72b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1714377101,model,qwen,chat
qwen1.5-7b-chat,aliyun_bailian:qwen1.5-7b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1735036190,model,qwen,chat
qwen2-0.5b-instruct,aliyun_bailian:qwen2-0.5b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1717760433,model,qwen,chat
qwen2-1.5b-instruct,aliyun_bailian:qwen2-1.5b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1717760433,model,qwen,chat
qwen2-57b-a14b-instruct,aliyun_bailian:qwen2-57b-a14b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1717760433,model,qwen,chat
qwen2-7b-instruct,aliyun_bailian:qwen2-7b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1717760433,model,qwen,chat
qwen2.5-0.5b-instruct,aliyun_bailian:qwen2.5-0.5b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1757402120,model,qwen,chat
qwen2.5-1.5b-instruct,aliyun_bailian:qwen2.5-1.5b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1757402614,model,qwen,chat
qwen2.5-14b-instruct,aliyun_bailian:qwen2.5-14b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012728,model,qwen,chat
qwen2.5-14b-instruct-1m,aliyun_bailian:qwen2.5-14b-instruct-1m,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1760422035,model,qwen,chat
qwen2.5-32b-instruct,aliyun_bailian:qwen2.5-32b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012737,model,qwen,chat
qwen2.5-3b-instruct,aliyun_bailian:qwen2.5-3b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1726638000,model,qwen,chat
qwen2.5-72b-instruct,aliyun_bailian:qwen2.5-72b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012775,model,qwen,chat
qwen2.5-7b-instruct,aliyun_bailian:qwen2.5-7b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012786,model,qwen,chat
qwen2.5-7b-instruct-1m,aliyun_bailian:qwen2.5-7b-instruct-1m,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1760422022,model,qwen,chat
qwen2.5-coder-0.5b-instruct,aliyun_bailian:qwen2.5-coder-0.5b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1753956320,model,qwen,chat
qwen2.5-coder-14b-instruct,aliyun_bailian:qwen2.5-coder-14b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1753956329,model,qwen,chat
qwen2.5-coder-32b-instruct,aliyun_bailian:qwen2.5-coder-32b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1753956340,model,qwen,chat
qwen2.5-coder-3b-instruct,aliyun_bailian:qwen2.5-coder-3b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1753956350,model,qwen,chat
qwen2.5-coder-7b-instruct,aliyun_bailian:qwen2.5-coder-7b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012797,model,qwen,chat
qwen2.5-math-1.5b-instruct,aliyun_bailian:qwen2.5-math-1.5b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012689,model,qwen,chat
qwen2.5-math-72b-instruct,aliyun_bailian:qwen2.5-math-72b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012807,model,qwen,chat
qwen2.5-math-7b-instruct,aliyun_bailian:qwen2.5-math-7b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012818,model,qwen,chat
qwen2.5-vl-32b-instruct,aliyun_bailian:qwen2.5-vl-32b-instruct,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1760421573,model,qwen,"chat,vision"
